generation,best_cost_eur,best_emissions_kg
1,3110.83,339.79
2,3036.72,338.87
3,3036.72,338.87
4,3036.72,335.76
5,2511.39,334.38
6,2511.39,334.07
7,2511.39,334.07
8,2475.43,334.07
9,2434.53,334.07
10,2407.07,334.07
11,2407.07,334.02
12,2406.93,333.79
13,2406.93,333.76
14,2406.93,333.64
15,2392.6,333.56
16,2390.92,333.56
17,2390.66,333.56
18,2390.66,333.56
19,2390.66,333.56
20,2390.66,333.56
21,2388.2,333.55
22,2380.36,333.55
23,2380.36,333.55
24,2380.08,333.55
25,2378.59,333.55
26,2378.59,333.55
27,2378.57,333.55
28,2378.57,333.55
29,2378.57,333.55
30,2378.57,333.55
31,2378.56,333.55
32,2378.56,333.55
33,2378.07,333.55
34,2378.01,333.55
35,2378.01,333.55
36,2377.99,333.55
37,2377.99,333.55
38,2377.99,333.55
39,2377.99,333.55
40,2377.99,333.55
41,2377.99,333.55
42,2377.99,333.55
43,2377.99,333.55
44,2377.99,333.55
45,2377.99,333.55
46,2377.99,333.55
47,2377.99,333.55
48,2377.99,333.55
49,2377.99,333.55
50,2377.99,333.55
51,2377.99,333.55
52,2377.99,333.55
53,2377.99,333.55
54,2377.99,333.55
55,2377.99,333.55
56,2377.99,333.55
57,2377.99,333.55
58,2377.99,333.55
59,2377.99,333.55
60,2377.99,333.55
61,2377.99,333.55
62,2377.99,333.55
63,2377.99,333.55
64,2377.99,333.55
65,2377.99,333.55
66,2377.99,333.55
67,2377.99,333.55
68,2377.99,333.55
69,2377.99,333.55
70,2377.99,333.55
71,2377.99,333.55
72,2377.99,333.55
73,2377.99,333.55
74,2377.99,333.55
75,2377.99,333.55
76,2377.99,333.55
77,2377.99,333.55
78,2377.99,333.55
79,2377.99,333.55
80,2377.99,333.55
81,2377.99,333.55
82,2377.99,333.55
83,2377.99,333.55
84,2377.99,333.55
85,2377.99,333.55
86,2377.99,333.55
87,2377.99,333.55
88,2377.99,333.55
89,2377.99,333.55
90,2377.99,333.55
91,2377.99,333.55
92,2377.99,333.55
93,2377.99,333.55
94,2377.99,333.55
95,2377.99,333.55
96,2377.99,333.55
97,2377.99,333.55
98,2377.99,333.55
99,2377.99,333.55
100,2377.99,333.55
