generation,best_cost_eur,best_emissions_kg
1,7360.37,726.73
2,7298.24,724.73
3,7298.24,724.08
4,7245.51,723.8
5,7245.51,723.74
6,7210.51,723.74
7,7204.43,723.74
8,7170.01,723.74
9,7156.87,723.74
10,7148.0,723.74
11,7145.06,723.74
12,7145.06,723.74
13,7143.9,723.74
14,7143.9,723.74
15,7143.9,723.74
16,7143.9,723.74
17,7143.9,723.74
18,7143.9,723.74
19,7143.9,723.74
20,7143.9,723.74
21,7143.9,723.74
22,7143.9,723.74
23,7143.9,723.74
24,7143.9,723.74
25,7143.9,723.74
26,7143.9,723.74
27,7143.9,723.74
28,7143.9,723.74
29,7143.9,723.74
30,7143.9,723.74
31,7143.9,723.74
32,7143.9,723.74
33,7143.89,723.74
34,7143.89,723.74
35,7143.89,723.74
36,7143.89,723.74
37,7143.89,723.74
38,7143.89,723.74
39,7143.89,723.74
40,7143.89,723.74
41,7143.89,723.74
42,7143.89,723.74
43,7143.89,723.74
44,7143.89,723.74
45,7143.89,723.74
46,7143.89,723.74
47,7143.89,723.74
48,7143.89,723.74
49,7143.89,723.74
50,7143.89,723.74
51,7143.89,723.74
52,7143.89,723.74
53,7143.89,723.74
54,7143.89,723.74
55,7143.89,723.74
56,7143.89,723.74
57,7143.89,723.74
58,7143.89,723.74
59,7143.89,723.74
60,7143.89,723.74
